============================================================
TRAINING RESULTS
============================================================

Best Val IoU   : 0.4562 (Epoch 19)
Final Val IoU  : 0.4541
Final Val Acc  : 0.7950
Final Val Loss : 0.5500

Per-Class IoU:
--------------------
  Background          : 0.5240
  Trees               : 0.7136
  Lush Bushes         : 0.5923
  Dry Grass           : 0.6188
  Dry Bushes          : 0.4146
  Ground Clutter      : 0.2550
  Logs                : 0.3196
  Rocks               : 0.3603
  Landscape           : 0.4732
  Sky                 : 0.9640

Per-Epoch History:
--------------------------------------------------------------------------------
 Epoch     TrLoss     VaLoss    TrIoU    VaIoU    TrAcc    VaAcc
--------------------------------------------------------------------------------
     1     0.7748     0.6370   0.3807   0.3841   0.7600   0.7786
     2     0.6646     0.6122   0.3908   0.3979   0.7551   0.7739
     3     0.6408     0.5970   0.4018   0.4075   0.7595   0.7758
     4     0.6215     0.5930   0.4099   0.4176   0.7550   0.7795
     5     0.6052     0.5831   0.4173   0.4213   0.7682   0.7875
     6     0.5950     0.5771   0.4268   0.4328   0.7737   0.7902
     7     0.5918     0.5729   0.4309   0.4324   0.7729   0.7887
     8     0.5827     0.5679   0.4319   0.4351   0.7716   0.7855
     9     0.5768     0.5664   0.4358   0.4393   0.7729   0.7905
    10     0.5732     0.5634   0.4393   0.4427   0.7778   0.7918
    11     0.5697     0.5592   0.4407   0.4458   0.7773   0.7917
    12     0.5630     0.5582   0.4445   0.4445   0.7745   0.7889
    13     0.5593     0.5565   0.4464   0.4475   0.7791   0.7932
    14     0.5593     0.5551   0.4500   0.4526   0.7829   0.7971
    15     0.5516     0.5529   0.4496   0.4515   0.7776   0.7916
    16     0.5545     0.5520   0.4519   0.4522   0.7814   0.7952
    17     0.5514     0.5508   0.4525   0.4531   0.7796   0.7938
    18     0.5489     0.5503   0.4509   0.4524   0.7808   0.7933
    19     0.5488     0.5503   0.4557   0.4562   0.7841   0.7970
    20     0.5488     0.5500   0.4522   0.4541   0.7822   0.7950
